"Company_name","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22","Cluster23","Cluster24","Cluster25","Cluster26","Cluster27","Cluster28","Cluster29","Cluster30","Cluster31","Cluster32","Cluster33","Cluster34","Cluster35","Cluster36","Cluster37","Cluster38","Cluster39","Cluster40","Cluster41","Cluster42","Cluster43","Cluster44","Cluster45","Cluster46","Cluster47","Cluster48","Cluster49","Cluster50","Cluster51","Cluster52","Cluster53","Cluster54","Cluster55","Cluster56","Cluster57","Cluster58","Cluster59","Cluster60","Cluster61","Cluster62","Cluster63","Cluster64","Cluster65","Cluster66","Cluster67","Cluster68","Cluster69","Cluster70","Cluster71","Cluster72","Cluster73","Cluster74","Cluster75","Cluster76","Cluster77","Cluster78","Cluster79","Cluster80","Cluster81","Cluster82","Cluster83","Cluster84","Cluster85","Cluster86"
"hcl",0,0,0,0.0297257887046557,0,0.0631197300821738,0,0.02729614306216,0,0,0,0,0.0626022783876453,0,0.00413599025560532,0,0,0,0,0,0,0,0.0599212741745382,0,0,0,0,0,0,0.0355564772611277,0.0744059581857963,0.0564769474390084,0.0595650675060438,0.0125981606645668,0,0,0,0.02729614306216,0,0,0,0.0561749989800954,0,0,0.0450363383388135,0,0,0.0449602067593232,0,0,0,0,0.05459228612432,0.0583616087536967,0,0,0.00530932969858322,0,0,0,0,0.0659861970175153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420251614527377,0.0754714079589315,0,0.0772051514379659,0,0,0,0,0,0
"futureretail",0,0,0.0107185075350741,0.00882231662554378,0,0.00757060713007876,0.0138950182880906,0.00778061758544184,0.0178457240713963,0.00702913225612787,0.0222566284997749,0.0245039564782477,0.0177964619031793,0.0141633090453113,0.00537766959583725,0.0101979088509289,0.0141428155376236,0.0139231827675996,0.0139080933838268,0,0,0,0.0190242853536792,0.0163319003210069,0.00357500892253719,0.00927206225588455,0.0230967949332934,0.0154277058705775,0.00794763524004436,0.0067926692389065,0.0134616895573154,0.0192445152029484,0.0175225506212708,0.0211614511760602,0,0.020167417447665,0,0.00846419608690034,0.00742359105500312,0,0.0194782307825788,0.0183614193219817,0.0163247447571873,0.0165204191573135,0.0108749275060257,0.0128661920843279,0.0182327865566436,0.0178155516750936,0.0160017336997297,0.00947368696505298,0.0195884219979535,0,0,0.0171685232056807,0.00832766784308663,0.017398081511623,0.00767777601609421,0.0209814443485939,0.0196997305686559,0.0161643329489349,0.0188377546180572,0.00384257313467658,0.0185399031970609,0.0141165890615427,0.010366480747884,0,0.0146979604120958,0.0182167262767626,0.0116557121719463,0.00671182274123199,0.0227370843284645,0.0169283921738007,0.0162790429782495,0.00736191029775225,0.0195790292815601,0.0177276424343592,0.00314871026725977,0,0.018669002182075,0.0189265178251969,0.0153450661118913,0,0.022195230786943,0.00231575518745697,0,0
"cmsit",0,0.0294512001865999,0.0173255818479126,0.021184228223981,0,0,0.00728847880998159,0.0274303153634607,0.00925678548298924,0,0,0.026010825913317,0.00552210003498747,0,0.00344455504397961,0.0119015813352719,0.00772216983623409,0,0.0270526547886489,0,0,0,0.0339820380995547,0,0,0.0112719394952704,0.0245048797838632,0.00768306999088904,0,0.0201587451983403,0,0.0261894461117251,0.0272665130951793,0.00830951690332086,0.00590337325326158,0.00721981944472116,0.0296346985362863,0.0148173492681432,0.0248024215070212,0.0220884001399499,0,0.0214288957359815,0.00736280004664997,0,0.00736280004664997,0.0213204309127163,0,0,0,0.00940980056788398,0.0130270276998653,0,0,0,0.0110442000699749,0.0264062054612938,0.0204070930134634,0.0225534700903112,0.0220178122108843,0.0231060178970923,0.0102249424106922,0,0,0,0.0207963770478664,0.012347791056786,0,0.00998985483865193,0.00850182917784549,0.00532792258061436,0,0.0395129313817151,0.0169297777544917,0.0170936273074879,0,0.0110442000699749,0.0367719426658705,0.0304362067926636,0.0217878636852196,0.0220884001399499,0.0283304925442818,0,0.0238581989582819,0,0.0220884001399499,0
"reliancejio",0.0142610780565892,0.0127274046088679,0,0.0122265946173915,0.00408231693167509,0.0147577118047183,0.0108956271312666,0.0147992430326859,0.0125017731224268,0.00590854925739973,0.0102046258862638,0.0163153920069809,0.00593741508109766,0.0187084807914837,0.00656015764617983,0.00514329603478354,0.00865346504397452,0.0150474233282862,0.0103918823472244,0,0.00720403215549603,0,0.0167049668207207,0.0149762964133865,0.00419827582584184,0.00714441911371678,0,0.0131980382307843,0.00842339631168302,0.0126527978851707,0.0179899976866701,0.0168167076164551,0.0196388116747128,0.016540736442513,0.012696731810215,0.0147792364000886,0.0151783156707054,0.0113166396926617,0.00561611115501993,0.0140001450697547,0.0139677613502499,0.0169776696754614,0.014427357708604,0.0180527579825255,0.00428643277825884,0.0157138463767181,0.0112606513124146,0.0172214534391986,0.0142732048827521,0.0152631359575425,0.0163538537643038,0.0128957018914701,0.0134994511587531,0.0168367737151809,0.00700007253487734,0.0177857209576206,0.0139743933866638,0.0148518621205022,0.0159922292807767,0.0155972355752228,0.0154767149352683,0.0123812875771375,0.0109820689608876,0.00889047614884502,0.0104566299041582,0.00569186837651454,0.015884761126448,0.012699553769725,0.0149490159762832,0.0140495443686126,0.0211510237883468,0.0113837367530291,0.012586521367461,0.00997907950630713,0.0153585584710526,0.0055682395163797,0.00426380515433588,0,0.0188313518585108,0,0.0142137066212411,0.013886736909635,0.0206207522584485,0.00194657791240733,0.0143183301849764,0
"yazaki",0.0265668620016654,0,0,0,0.0081603618168732,0,0.0100093863060906,0,0.0372404878938484,0.0381908200556079,0.0283313512180413,0.0137794012534733,0,0.0283313512180413,0.0113209920350136,0,0,0.0278510184166623,0,0.0244810854506196,0.0163207236337464,0.0352809991471707,0,0,0.017483306798641,0.0122405427253098,0.0294008326226422,0.0329461494095875,0,0.00349729792151709,0,0.0160266324531638,0,0.00191554896193084,0,0,0,0,0,0,0,0,0,0,0,0.0081603618168732,0.0373898788411415,0,0.0316916545130723,0.0250240491618048,0,0.012917318734144,0,0,0.0358421711381036,0,0.00299085003350805,0.0371102276556592,0.0374298669309363,0.0386789119393173,0.0404180640226913,0,0.020427312466646,0.0353270779165773,0.0264029393299633,0,0,0.026664300753041,0.0081603618168732,0.0105851072649637,0.00516638392125133,0,0,0.0267867876618002,0,0.0274730016323834,0,0,0,0,0.0211171060796959,0.0277589416831119,0,0,0.0371021733467948,0
"hpe",0,0,0,0.0397845758595769,0.0828706306962553,0,0,0,0,0,0,0,0,0,0.0118386615280365,0,0,0,0,0,0.13267265785727,0,0,0,0.0295308102372628,0,0,0,0,0,0,0,0,0.0384596221255086,0,0.118496608833079,0,0,0,0,0.0885924307117883,0,0.135463791718586,0,0.0676635866228167,0,0,0,0,0,0.106985524192101,0,0,0,0,0,0.00412057817264132,0,0,0,0,0,0,0,0,0,0,0,0,0.110372269166575,0,0,0,0,0.0331482522785021,0,0,0,0,0,0,0,0,0,0,0
"grofers",0,0.0295560587967571,0.0111393587852871,0,0,0,0.0160631634494089,0.0157721283768839,0,0,0.0355463504102607,0.0377997620743951,0,0,0.00636691410343212,0.0139346152756458,0,0.0143087654374209,0,0,0,0,0.0156744672002514,0.0304312051109689,0.0046732232227804,0,0,0,0.0182120851281745,0,0.0194774822689341,0.0195930840003143,0,0.0157951920629208,0.0410752421495202,0.0299545190112214,0,0.0214790409003721,0.0173892600634108,0,0.0166252830731759,0.0322577873724694,0.0219633086800782,0.0386979647659157,0,0,0,0.0214057863099949,0,0.0107923467426219,0.038211588033961,0,0,0,0,0,0.00706203504808651,0,0,0,0,0.00692382133333558,0,0.00880829015031488,0.0182120851281745,0.0148701052387191,0.0307401592766354,0,0,0.017564721192526,0.0412719317957063,0.0297402104774383,0.0373886881260584,0,0.0501071316633536,0.0166252830731759,0.0174677458961833,0,0.0291539168095468,0,0.0072884792023867,0,0.0376249407931334,0.0349544719886477,0,0
"defence",0,0,0,0.0157335097337355,0.0117987222059822,0.0152954202155082,0.0165937634259537,0,0,0,0,0,0,0.026756986924598,0.00185408491808292,0,0,0,0,0,0,0,0.0284909817941772,0.0359961443757591,0.00976642585379154,0,0,0,0,0.0299597561996155,0.0352940968099766,0.0334647890577258,0.0360456917417798,0.0372723209067312,0.021724164068886,0.035034516330633,0,0.0124369452168367,0,0,0.0292992775613746,0.0283284983074162,0.034913914299807,0.0327704825097931,0,0.0296015785959544,0,0.0101783114858244,0.00602101021281281,0,0.0352068207126281,0.0127440765315862,0.0353961666179466,0,0,0.0139432331265329,0.00327730424503274,0,0,0,0,0,0,0,0.0182785018441187,0.0279831267378825,0.0277670375832756,0.0125774801319813,0.0340335970247206,0.0118601970441597,0.037594140439518,0,0,0.00973556220956436,0.0362500815400718,0.0274387689819835,0.00546118643191079,0,0.0329177663193527,0,0.00685786798319848,0,0.0360456917417798,0,0,0
"indianarmy",0.00557353557645212,0.017376564233174,0,0.00778393480768139,0.00836030336467819,0,0.0138412885841316,0.00961616615488322,0.0198721185280703,0.0182119645845587,0.0208983696170809,0.0225787636358017,0,0.02554245175421,0.012507870955644,0.00702207690139545,0.00662716157038177,0.0205440563919484,0.0141879052846576,0,0,0.0216872630771893,0,0.0153352107872572,0.0114671143447265,0.00886744080291098,0.0192775671797238,0.0228954492696075,0.0103106642193174,0.00492926368032274,0.00555704391346796,0.00903062042176606,0.0160875724320613,0.00556404153737043,0.00799299530455258,0.0171586917314723,0.0207227620484099,0,0,0,0,0,0.00546467663998822,0.0189593859325672,0,0.0120810048900877,0.0230070035661074,0,0.0245606219606545,0.0239866510462598,0.00960762983171397,0.0208229613548131,0,0,0.0248911555635486,0.0183532471382785,0.0140114549805078,0.0253463239413454,0.0241905822529075,0.027869985503932,0.0285598805104632,0.00347809643766708,0.0122495108627365,0.0197779524525839,0.0195326639707417,0,0.0216872630771893,0.0199581554584559,0.00557353557645212,0.00611812351854563,0.0206592648376285,0,0.0162945812455436,0.0132018720645586,0,0.00760224685201362,0.00441250148398906,0,0.0142834478139015,0,0.0165491039737431,0.0246472017123373,0.0187688345040715,0,0.026064846349761,0
"computersciencescorporation",0.0121802082922216,0.0152165209785681,0.00975227210305537,0.0106114594333496,0.00637879856452268,0.0145975782156285,0.0109368605189132,0.0134469938234585,0.0101626518267942,0,0.0101669657357964,0.015004401471065,0.0138529278629396,0.0149115497458348,0.00284738436901965,0.00569368301281768,0.00820255647152523,0.0113157149594791,0.0139772670216929,0,0.00812486468994115,0,0.0193289652384135,0.0104447184959806,0.00551906274201105,0.00698863351084644,0.00914399110373348,0.0114780263099913,0.0143878951447884,0.0139885040407509,0.0139565550352954,0.0154211611931426,0.0176097012132113,0.0164690852899253,0.0148463890368348,0.0146231937636391,0.0173906451477775,0.0153013730990785,0.0160694918687551,0.0167381730764249,0.0141633691977167,0.0123018280880516,0.0135812239573038,0.0177094245582659,0.0133670186452028,0.0164409485841982,0.00812977746950845,0.0142401207893895,0.0121169084518538,0.00463023988150686,0.0157859267205807,0.012930493476591,0.0143462735600172,0.0129404347485713,0.00507217365952271,0.0149649555015274,0.0155161666433211,0.0114677147996929,0.0117668708067214,0.010728294125053,0.0111452800792944,0.0144475691077065,0.00227740376890988,0.00552075002249952,0.00787140779856166,0.010207552586739,0.0105507589658463,0.0092920195983332,0.0137000100248691,0.0116850600110604,0.0153321004667666,0.0153113288801085,0.0156452410437632,0.0140776557415223,0.0159576927576134,0.00570619536696305,0.0138346408052513,0.0100353078296254,0.0150094838351239,0.0120464124413664,0.00847877860577183,0.0121752293838078,0.0187836812940921,0.0114777041935388,0.0101443473190454,0
