"Company_name","Cluster_id"
"74","acsaxeroxcompany"
"74","acs"
"75","aforeserve"
"75","aforeservecom"
"75","aforeservecomltd"
"75","aforservecom"
"75","aforeserveodotcom"
"76","aftekinfosys"
"76","aftek"
"77","cms"
"77","cmsinfo"
"77","cmsinfosytemtd"
"77","cmsinfosys"
"77","cmsinfosystem"
"77","cmsinfosystemfrommumbai"
"77","cmsinfosystempvtltdpune"
"77","cmsinfosystems"
"77","cmsinfosystemsp"
"77","cmsinfosystemsmumbai"
"77","cmsinfosystempv"
"77","cmsinfosystemspune"
"77","cmslit"
"77","cmscomputer"
"77","cmscomputers"
"78","cmc"
"78","cmcltd"
"79","agilenttechnologies"
"80","clutchauto"
"81","agilitylogistics"
"81","agilitylogisticsp"
"81","agilityeservices71574"
"81","agility"
"82","cityunionbank"
"83","agnicefireprotection"
"84","agro"
"84","agrotechfoods"
"84","sundropfood74275"
"84","sundropfood74276"
"84","sundropfood74277"
"84","sundropfood74278"
"85","citibankna"
"86","hcl"
"87","futureretail"
"88","cmsit"
"89","reliancejio"
"90","yazaki"
"91","hpe"
"92","grofers"
"93","defence"
"94","indianarmy"
"95","government"
"96","govtof"
"97","citicorp"
"98","harmanconnected"
"99","sobha"
"100","dtdcexpress"
"101","askmecom"
"102","amwmotors"
"103","telesonicnetworks"
"104","cpf"
"105","selfemployee"
"106","trainee"
"107","hotel"
"108","flipkartinternet"
"109","realestate"
"110","mahaonline"
"111","ericssonglobal"
"112","xeroxbusiness"
"113","herofincorp"
"114","rjil"
"115","mahlebehr"
"116","confidential"
"117","abcd"
"118","telecom"
"119","idfcbank"
"120","governmentof"
"121","mahindracomviva"
"122","amecfosterwheeler"
"123","laksion"
"124","askmebazaarcom"
"125","concentrixdaksh"
"126","lichousingfinance"
"127","govt"
"128","production"
"129","lenskartcom"
"130","taxiforsure"
"131","notnow"
"132","altimetrik"
"133","aecom"
"134","fresh"
"135","cardekhocom"
"136","court"
"137","automobile"
"138","telenor"
"139","quesscorp"
"140","auditfirm"
"141","vikramsolar"
"142","notemployedcurrently"
"143","vodafonemobile"
"144","inbisco"
"145","ensuresupport"
"146","sales"
"147","later"
"148","saharaqshop"
"149","nttdatagds"
"150","currentlyemployed"
"151","luminadatamatics"
"152","any"
"153","programmer"
"154","xxx"
"155","metenere"
"156","marketing"
"157","gsh"
"158","bel"
"159","upslogistics"
"160","pharma"
"161","nojob"
"162","statestreethcl"
"163","selfpractice"
"164","sector"
"165","manager"
"166","lookingforajob"
"167","independent"
"168","hibu"
"169","all"
"170","ssnlogistics"
"171","not"
"172","freasher"
"173","engineer"
"174","searching"
"175","ppgasianpaints"
"176","manufacturing"
"177","wiprobps"
"178","noemployer"
"179","homecredit"
"180","capitalfirst"
"181","test"
"182","systemadministrator"
"183","studying"
"184","hpglobalsoft"
"185","hicare"
"186","tbeaenergy"
"187","suzlonglobal"
"188","shriramautomall"
"189","hsbinfotech"
"190","experienced"
"191","anycompany"
"192","notdisclosed"
"193","tutor"
"194","syskaledlights"
"195","resigned"
"196","ltvalves"
"197","lauruslabs"
"198","clinic"
"199","smeraratings"
"200","lawyer"
"201","highcourt"
"202","gtplhathway"
"203","a"
"204","retail"
"205","gerdausteel"
"206","delhipublicschool"
"207","chennai"
"208","clarisotsuka"
"209","supervisor"
"210","serendipityinfolabs"
"211","ksspetron"
"212","pharmacompany"
"213","idfcbank"
"214","working"
"215","siticablenetwork"
"216","sanmargprojects"
"217","payupayments"
"218","ownclinic"
"219","infinx"
"220","unemployed"
"221","getitgrocery"
"222","schools"
"223","cartradecom"
"224","unemployed"
"225","home"
"226","vodafoneshared"
"227","ltmhpsboilers"
"228","gojavas"
"229","123"
"230","vertexcustomer"
"231","mandoautomotive"
"232","gujaratgas"
"233","futurelifestylefashion"
"234","army"
"235","selfbusiness"
"236","prabhatdairy"
"237","hindujatech"
"238","edgevervesystems"
"239","sqsbfsi"
"240","gulfoillubricants"
"241","sheenlacpaints"
"242","samsungct"
"243","jobseeker"
"244","finance"
"245","anyone"
"246","regenersis"
"247","legal"
"248","labournet"
"249","sesasterlite"
"250","school"
"251","meritnationcom"
"252","lemeridien"
"253","orionsystems"
"254","onrequest"
"255","mondelezfoods"
"256","govtsector"
"257","gatikwe"
"258","tatastarbucks"
"259","sjmmcsl"
"260","engineer"
"261","nttdatagds"
"262","nil"
"263","lauruslabs"
"264","klouddatalabs"
"265","caterpillar"
"266","tcitech"
"267","shreemelectric"
"268","nuconaerospace"
"269","lotmobiles"
"270","lohiacorp"
"271","kutumbhcare"
"272","jobless"
"273","softwareone"
"274","porteamedical"
"275","origocommodities"
"276","notmentioned"
"277","jubilantgenerics"
"278","govt"
"279","cmsit"
"280","travelagency"
"281","tolexoonline"
"282","testing"
"283","ownpractice"
"284","propertyonline"
"285","hometutor"
"286","cybercafe"
"287","cheil"
"288","techariessoft"
"289","searchingjob"
"290","roquetteriddhisiddhi"
"291","provana"
"292","pune"
"293","copalamba"
"294","accordsynergy"
"295","stayzillacom"
"296","sercobpo"
"297","notworkingatpresent"
"298","imshealth"
"299","unemployee"
"300","psu"
"301","primologicsystems"
"302","pcjeweller"
"303","nuvologistics"
"304","institute"
"305","gdfoodsmfgi"
"306","talentplussystems"
"307","kewill"
"308","iqorglobal"
"309","ikshealth"
"310","graphicdesigner"
"311","evio"
"312","elentec"
"313","xlcatlin"
"314","tution"
"315","sunstriketelecom"
"316","student"
"317","sailifesciences"
"318","pricewaterhouse"
"319","presidiumschool"
"320","majesco"
"321","jkfenner"
"322","innovsource"
"323","icai"
"324","yokohama"
"325","sss"
"326","pwcsdc"
"327","premhenna"
"328","pennantsoftware"
"329","mndasturcop"
"330","intechpharma"
"331","freshar"
"332","avkulmarketing"
"333","teamleader"
"334","pwd"
"335","kpo"
"336","iamfresher"
"337","greendimension"
"338","fmcgcompany"
"339","entrylevel"
"340","accounting"
"341","telenor"
"342","srldiagnostics"
"343","priviorganics"
"344","paruluniversity"
"345","mumbai"
"346","harman"
"347","govtofwestbengal"
"348","coffeedayglobal"
"349","airwilinfra"
"350","virtusapolaris"
"351","medfin"
"352","hazelmercantile"
"353","amenarini"
"354","victoraauto"
"355","thinkandlearn"
"356","tajeduglobe"
"357","stridesshasun"
"358","neelauto"
"359","celkonimpex"
"360","account"
"361","sukhbiragroenergy"
"362","stpl"
"363","orientelectric"
"364","metso"
"365","gep"
"366","flourishpurefoods"
"367","encubeethicals"
"368","bangalore"
"369","automobiles"
"370","aon"
"371","advertisingagency"
"372","various"
"373","ujaasenergy"
"374","staffnurse"
"375","shaadicom"
"376","intel"
"377","freelancetrainer"
"378","thechopras"
"379","squareyards"
"380","pharmaceutical"
"381","oppomobiles"
"382","naa"
"383","kspgautomotive"
"384","executive"
"385","associatedecor"
"386","admin"
"387","actfibernet"
"388","accountassistant"
"389","quantumvalueit"
"390","powerplant"
"391","knightfrankproperty"
"392","govthospital"
"393","free"
"394","fccclutch"
"395","eleconepcprojects"
"396","consulting"
"397","akalogistics"
"398","tutions"
"399","syncrouteinfranet"
"400","ssa"
"401","securenssystems"
"402","schoolgurueduserve"
"403","personal"
"404","expressclinics"
"405","cdmsmith"
"406","cdkglobal"
"407","athome"
"408","toshibasoftware"
"409","publicsectorbank"
"410","other"
"411","officeassistant"
"412","nethusoft"
"413","mikuni"
"414","lenskart"
"415","koso"
"416","hotelindustry"
"417","gamesarenewable"
"418","banking"
"419","accesspay"
"420","vivomobile"
"421","spglobal"
"422","practitioner"
"423","practise"
"424","nurse"
"425","mndasturco"
"426","microsechealthbuddy"
"427","hospital"
"428","contractor"
"429","auditor"
"430","adama"
"431","sanofi"
"432","restaurant"
"433","orangecitywater"
"434","oppomobile"
"435","logistics"
"436","instakart"
"437","hidden"
"438","hardware"
"439","geosansaradvisors"
"440","diagnolabs"
"441","carriermidea"
"442","ascendumkps"
"443","wiproenterprises"
"444","teconnectivity"
"445","techmindinfotech"
"446","spiglobal"
"447","shalimarcorp"
"448","proptigerrealty"
"449","pharmacy"
"450","office"
"451","notapplicable"
"452","matbrakes"
"453","lucasindian"
"454","interiordesigner"
"455","institute"
"456","govtschool"
"457","concern"
"458","casagrande"
"459","zoetis"
"460","shivapharmachem"
"461","rattanindiapower"
"462","parttime"
"463","noexperience"
"464","hccbpl"
"465","digicaptions"
"466","company"
"467","bs"
"468","ayurwinpharma"
"469","agrobytesit"
"470","3findustries"
"471","youbroadband"
"472","tribrosoftech"
"473","topsunenergy"
"474","textile"
"475","testengineer"
"476","sunedisonenergy"
"477","study"
"478","snbhobeassociates"
"479","nipponkoei"
"480","mantrirealty"
"481","indusprojects"
"482","honesty"
"483","government"
"484","enggcollege"
"485","ardomtelecom"
"486","zebronics"
"487","yumrestaurants"
"488","vbhcvaluehomes"
"489","varmoragranito"
"490","universityofdelhi"
"491","the"
"492","technician"
"493","shippingcompany"
"494","ringroadhonda"
"495","nowork"
"496","nationaloilwellvarco"
"497","mizuhobank"
"498","levistraussco"
"499","hectorbeverages"
"500","gatikintetsuexpress"
"501","fordmotor"
"502","faasosfood"
"503","compasssupport"
"504","callhealth"
"505","askmegrocerycom"
"506","airforce"
"507","aclmobile"
"508","vulcanexpress"
"509","tuition"
"510","ttsl"
"511","teachfor"
"512","skillnext"
"513","sentisspharma"
"514","schoolteacher"
"515","sarehomes"
"516","esskayautofinance"
"517","eicherpolaris"
"518","designer"
"519","designation"
"520","cbsi"
"521","bdollp"
"522","bankingsector"
"523","automobile"
"524","vaibhavglobal"
"525","uidai"
"526","tomtom"
"527","sunedison"
"528","sedergroup"
"529","quickdellogistic"
"530","northerntrustcorp"
"531","nocompany"
"532","ltfinancial"
"533","limetray"
"534","legalfirm"
"535","issfacility"
"536","hospital"
"537","hometution"
"538","hitachipayment"
"539","grp"
"540","eyllp"
"541","exedyclutch"
"542","dupontpioneer"
"543","developer"
"544","aptean"
"545","xerionretail"
"546","shrenujco"
"547","sendmygiftcom"
