"Company_name","Cluster_id"
"1","akzonobelindialimited"
"1","akzonobelindialtd"
"1","akzonoblepvtltd"
"1","akzonobel"
"1","akzonobelcoatingsindiapvtltd"
"2","20micronslimited"
"2","20micronsltd"
"3","247customer"
"3","247customerpvtltd"
"3","247customerpvtltdc996"
"3","bpo24772136"
"4","3iinfotech"
"4","3i"
"4","3"
"4","3icsl"
"4","3iinfotechbpo"
"4","3iinfotechbpoltd"
"4","3iinfotechconsultancy"
"4","3iinfotechconsultancylimited"
"4","3iinfotechconsultancyltd"
"4","3iinfotechconsultancypvtltd"
"4","3iinfotechconsultancyservice"
"4","3iinfotechconsultancyservicelimited"
"4","3iinfotechconsultancyserviceltd"
"4","3iinfotechconsultancyservices"
"4","3iinfotechconsultancyserviceslimited"
"4","3iinfotechconsultancyservicesltd"
"4","3iinfotechcsl"
"4","3iinfotechcslltd"
"4","3iinfotechdelhi"
"4","3iinfotechlimited"
"4","3iinfotechltd"
"4","3iinfotechltdmumbai"
"4","3iinfotechmumbai"
"4","3iinfotechprivatelimited"
"4","3iinfotechpvtltd"
"5","3m"
"5","3mindia"
"5","3mindialimited"
"5","3mindialtd"
"5","3mindialtdranjangaon"
"5","3mindiapvtltd"
"5","3mespeindia"
"6","a1infotechtechnology"
"6","a1technologyltd"
"6","a1technology"
"7","a2zgroupgurgaon"
"7","a2zgroupltd"
"7","a2zgroup"
"7","a2zinfraservicesltd"
"7","a2zinfrastructureltd"
"7","a2zmaintenanceengineeringservicesltd"
"7","a2zmaintenanceandengineeringserviceslimited"
"7","a2zmaintenenceengineeringservicesltd"
"7","a2z"
"7","a2zbusinessolutionpvtlimited"
"8","a3logics"
"8","a3logicsconsultingfirm"
"9","aakasheducationalservicesltd73029"
"9","aakasheducationalservicesltd"
"9","aakashinstituteltd"
"9","aakashinstitute"
"10","aambyvalleylimited"
"10","aambyvalleyltd"
"10","aambyvalleycity"
"11","aartidrugs"
"11","aartidrugslimited"
"11","aartidrugsltd"
"12","aartiindustriesltd"
"12","aartigroupofindestries"
"13","contryclubindialtd"
"13","countryclub"
"13","countryclubiltd"
"13","countryclubindialimited"
"13","countryclubindialtd"
"13","countryclubindia"
"13","countryclubindiapvtltd"
"14","aarvienconprivatelimited"
"14","aarvienconpvtltd"
"15","abb"
"15","abbcorporateresearch"
"15","abbindialimited"
"15","abbindialtd"
"15","abblimited"
"15","abblimitedbangalore"
"15","abbltd"
"15","abblt"
"15","abbltdbangalore"
"15","abbltdbanglore"
"15","abbltdnashik"
"15","abbltdnasik"
"15","abbltdvadodara"
"15","abbomanllc"
"15","abbprivatelimited"
"15","abbpvtltd"
"15","abbtransformer"
"15","abbvadodara"
"15","msabbindialimited72226"
"16","almightysoftwareb715pvtltd"
"16","aspl"
"17","abbotthealthcarepvtltd"
"17","abbotthealthcareprivatelimited"
"17","abbottindia"
"17","abbottindialimited"
"17","abbottindialtd"
"17","abbottnutritionintertational"
"17","abbott"
"17","abbotthealthcare"
"18","abcbearingltd"
"18","abcbearings"
"18","abcbearingsltd"
"18","abcbearingslimited"
"19","abcconsultants"
"19","abcconsultantspvtltd"
"20","abcindialimited"
"20","abc"
"20","abcltd"
"21","abcpapers"
"21","abcpaperltd"
"21","abcltd"
"22","abgshipyard"
"22","abgshipyardlimited"
"22","abgshipyardltd"
"23","cotmacelectronics"
"23","cotmacelectronicsprivatelimited"
"23","cotmacelectronicspvtltd"
"23","cotmacelectronicssuratpvtltd"
"24","abmknowledgewareltd"
"25","abp"
"25","abpananda"
"25","abpentertainmentpvtltd"
"25","abpgroup"
"25","abpnews"
"25","abpprivatelimited"
"25","abppvtltd"
"25","anandabazarpatrikapvtltd"
"26","abs"
"26","absconsultinguae"
"26","absindia"
"26","absindiapvtltd"
"27","abtmaruti"
"27","abtmarutilimited"
"28","abudhabicommercialbank"
"28","abudhabigasindustrieslimited"
"28","adacabudhabiairportscompany72166"
"29","abudhabicompanyforonshoreoiloperations"
"29","adco"
"30","acccementcompany"
"30","acc"
"30","acccement"
"30","acclimited"
"30","accltd"
"30","aceltd"
"30","acccementltd"
"30","accconcretelimited"
"30","accconcreteltd"
"30","cssexecutiveataccltd"
"31","accelfrontline"
"31","accelfrontlineltd"
"31","accel"
"31","accelfrontlinelimited"
"31","accelfrontlineservicesltd"
"31","accelfrontlineglobleservicesltd"
"32","accelitacademy"
"32","accelitresources"
"32","accelitresourcesltd"
"33","accentiatechnologies"
"33","accentiatechnologiesltd"
"34","accentureltd"
"34","accenturetechnologies"
"34","accenturetechnologyservices"
"34","accentre"
"34","accenture"
"34","accentureoperationindiapvtltd"
"34","accenturepvtltd"
"34","accentureservic"
"34","accentureservicespvtltd"
"34","accentureservicespvtltd79026"
"34","accentureservices"
"34","accentureservicesprivatelimited"
"34","accenturetechnologysolutions"
"34","accenture77701"
"34","accenturebangalore"
"34","accenturebpo"
"34","accenturefinancialservices"
"34","accentureindia"
"34","accentureindiaprivatelimited"
"34","accentureindiapvtltd"
"34","accentureindiaservicespvtltd"
"34","accenturemanagementconsulting"
"34","accentureservicepvtltd"
"34","accentureservicesindiapvtltd"
"34","accentureservicesltd"
"34","accentureservicespltd"
"34","accentureservicesprivateltd"
"34","accentureservicespvtlimited"
"35","convergysindia"
"35","convergysindialimited"
"35","convergysindialtd"
"35","convergysindiaprivatelimited"
"35","convergysindiaprivateltd"
"35","convergysindiapvtlimited"
"35","convergysindiapvtltd"
"35","convergys"
"35","connergys"
"35","convergysimg"
"35","convergysindiaservices"
"35","convergysindiaservicesltd"
"35","convergysindiaservicesprivatelimited"
"35","convergysindiaservicespvtltd"
"35","convergyspvtltd"
"35","convergysservicesindiapvtktd"
"36","computeragemanagementservice"
"36","computeragemanagementserviceltd"
"36","computeragemanagementservicepvtltd"
"36","computeragemanagementservices"
"36","computeragemanagementservicesltd"
"36","computeragemanagementservicespltd"
"36","computeragemanagementservicesprivatelimited"
"36","computeragemanagementservicespvtltd"
"36","computeragemanagementsevicesagra"
"37","accordcommunicationpvtltd"
"38","accordsoftwaresystemspvtltd"
"38","accord"
"39","compucomsoftwarelimited"
"39","compucomsoftwareltd"
"39","compucom"
"40","compuageinfocom"
"40","compuageinfocomlimited"
"40","compuageinfocomltd"
"41","acerindia"
"41","acerindiapvtltd"
"42","aclwireless"
"42","aclwirelesslimited"
"42","aclwirelessltd"
"43","acmetelepower"
"43","acmetelepowerltd"
"43","acmetelepowerltdrudrapuruttrakhand"
"43","acmetelepowerlimited"
"43","acmetelepowerpvtltd"
"43","acme"
"44","compareinfobaselimited"
"44","compareinfobaseltd"
"44","compareinfobasepvtltd"
"45","acplexportpvtltd"
"45","acplproductspvtltd"
"45","acpl"
"46","actionconstructionequipmentlimited"
"46","actionconstructionequipmentltd"
"46","actionconstructionequipmentsltd"
"46","actionconstructionequipment"
"46","ace"
"47","amarujalapublication"
"47","amarujalapublicationltd"
"47","amarujalapublications"
"47","amarujalapublicationslimited"
"47","amarujalapublicationsltd"
"47","amarujala"
"47","amarujalaprintmedia"
"48","collaberasolutionsprivatelimited"
"48","collaberasolutionspvtltd"
"48","collaberatechnologies"
"48","collabera"
"48","collaberasolutions"
"49","adanipower"
"49","adanipowerlimited"
"49","adanipowerltd"
"49","adanipowermaharashtralimited"
"49","adanipowermaharashtraltd"
"49","adanipowerplant"
"49","adanigroup"
"50","adaniwillmarltd"
"50","adaniwilmar"
"50","adaniwilmarlimited"
"50","adaniwilmarltd"
"50","willisprocessingservicesindiapvtltd"
"51","adarshdevelopers"
"51","eversendaiconstructionpvtltd"
"52","adccinfocadpvtltd"
"52","adccinfocadpvtltdnagpur"
"53","adeccoindia"
"53","adeccoindialimited"
"53","adeccoindialtd"
"53","adeccoindiaprivatelimited"
"53","adeccoindiapvtltd"
"53","adeccopvtltd"
"53","adecco"
"54","colgatepalmoliveindialtd"
"54","colgatepalmoliveindia"
"54","colgatepalmolive"
"54","colgatepalmoliveindialimited"
"55","adidasindiamarketingpvtltd"
"55","adidas"
"56","adititechnologiesprivatelimited"
"56","adititechnologiespvtltd"
"56","adititechnology"
"56","adititechnologypvtltd"
"56","adititechnologies"
"57","cognizan"
"57","cognizantindiaprivatelimited"
"57","cognizanttechsolutions"
"57","cognizanttechnicalsolutions"
"57","cognizanttechnolgysolutions"
"57","cognizanttechnologicalsolutions"
"57","cognizanttechnologiessolution"
"57","cognizanttechnologiessolutions"
"57","cognizanttechnologiessolutionsindiapvtltd"
"57","cognizanttechnologiessolutionspvtltd"
"57","cognizanttechnolog"
"57","cognizanttechnologyandsolutions"
"57","cognizanttechnologysolutins"
"57","cognizanttechnologysolutinsindiapvtltd"
"57","cognizanttechnologysolution"
"57","cognizanttechnologysolutionindiapvtltd"
"57","cognizanttechnologysolutionpvtltd"
"57","cognizanttechnologysolutionscts"
"57","cognizanttechnologysolutionsbangalore"
"57","cognizanttechnologysolutionschennai"
"57","cognizanttechnologysolutionscoimbatore"
"57","cognizanttechnologysolutionscorporation"
"57","cognizanttechnologysolutionshyderabad"
"57","cognizanttechnologysolutionsindpvtltd"
"57","cognizanttechnologysolutionsindia"
"57","cognizanttechnologysolutionsindialimited"
"57","cognizanttechnologysolutionsindialtd"
"57","cognizanttechnologysolutionsindiaprivatelimited"
"57","cognizanttechnologysolutionsindiaprivateltd"
"57","cognizanttechnologysolutionsindiapvtltd"
"57","cognizanttechnologysolutionsindiapvtlimited"
"57","cognizanttechnologysolutionskolkata"
"57","cognizanttechnologysolutionslimited"
"57","cognizanttechnologysolutionsltd"
"57","cognizanttechnologysolutionsprivatelimited"
"57","cognizanttechnologysolutionspune"
"57","cognizanttechnologysolutionspvtltd"
"57","cognizanttechnologysolutionsmumbai"
"57","cognizanttechnologysolutions"
"57","cognizanttechnologysoultions"
"57","cognizanttechnololgysolutions"
"57","cognizanttechologysolutions"
"57","cognizanttechonologysolution"
"57","cognizanttechonologysolutions"
"57","cognizanttecnologysolutions"
"57","cognizantcts"
"57","coginizanttechnologysolutions"
"57","cognizant"
"57","cognizantbusinessconsulting"
"57","cognizantindiapvtltd"
"57","cognizanttechnologies"
"57","cognizanttechnologysolutionpltd"
"57","cts"
"57","ctsbanglore"
"57","ctschennai"
"57","ctscorporation"
"57","ctshyderabad"
"57","ctspune"
"57","ctspvtltd"
"57","cognizantglobleservicespvtltd"
"57","cognizanttechnology"
"57","cognizanttechnologyservices"
"57","cogzinant"
"58","adityabirlainsulatorslimited"
"58","adityabirlainsulators"
"59","adityabirlamemorialhospital"
"59","adityabirlamemorialhospitalpune"
"59","adityabirlahospital"
"60","adityabirlaminacslimited"
"60","aditabirlaminacsworldwide"
"60","adityabirlaminacspvtltd"
"60","adatyabirlaminacs"
"60","adityabirlaminacs"
"60","adityabirlaminacsworldwideltd"
"61","adityabirlamoney"
"61","adityabirlamoneylimited"
"61","adityabirlamoneyltd"
"61","adityabirlamoneymart"
"61","adityabirlamoneymartlimited"
"61","adityabirlamoneymartltd"
"62","bottlerofcocacolaindia"
"62","cocacolaindia"
"62","cocacola"
"62","cocacolacompany"
"62","cococola"
"63","adityabirlaretail"
"63","adityabirlaretailindialtd"
"63","adityabirlaretaillimited"
"63","adityabirlaretailltd"
"63","adityabirlaretailpvtltd"
"63","abrl"
"63","adityabiralaretail"
"63","birl"
"64","amararajabatteries"
"64","amararajabatterieslimited"
"64","amararajabatteriesltd"
"64","amaraj"
"64","amararajabattery"
"64","amararajapowersystemsltd"
"65","adlabsfilms"
"65","adlabsfilmsltd"
"65","reliancemediaworksltd"
"66","adobe"
"66","adobesystemsltd"
"66","adobesystems"
"67","adorweldinglimited"
"67","adorweldingltd"
"68","adventityglobalservices"
"68","adventityglobalservicespvtltd"
"68","adventity"
"69","aecom"
"69","aecommiddleeast"
"69","aecompvtltd"
"69","aecomuae"
"70","aegisbposervice"
"70","aegisbposervicelimited"
"70","aegisbposerviceltd"
"70","aegisbposervicepvtltd"
"70","aegisbposervices"
"70","aegisbposerviceslimited"
"70","aegisbposervicesltd"
"70","aegisbposervicespvtltd"
"70","aegisltd"
"70","aegispvtltdlucknow"
"70","aegisbpo"
"70","aegislimited"
"70","aegis"
"70","aegisbpolimited"
"70","aegisbpoltd"
"70","aegisbpopvtltd"
"70","aegisbposervicesltdbhopal81494"
"70","aegispvtltd"
"70","aegistechltd"
"71","aegonreligarelifeinsurance"
"71","aegonreligarelifeinsurancecoltd"
"71","aegonreligare"
"71","aegonreligarelifeinsurancecompany"
